"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"5121","BE","11","ADM4",-1954154,"nld","latin","Sint-Agatha-Berchem","50.864567","4.293871"
"252117","US","45","PPL",NA,"en","english","Brockington Heights","34.2912649","-79.8833963"
"61423","ID","30","PPLA4",-2675896,"ind","latin","Cinta","-7.1564","108.0558"
"63350","ID","7","ADM4",11301054,"ind","latin","Ketitang Wetan","-6.7004","111.1902"
"239107","US","42","PPL",NA,"en","english","Knobsville","40.0075874","-77.9627785"
"94491","NG","","PPL",-2024709,"en","latin","Bakorgel","8.783333","12.166667"
"275822","US","51","PPL",NA,"en","english","Montezuma","38.4092921","-78.9880854"
"116697","TR","80","PPLA2",-774381,"tr","latin","Uludere","37.445","42.861667"
"76835","KP","13","PPL",-184048,"ko","latin","Samjiyŏn","41.803565","128.318862"
"51597","ID","8","PPLA4",11383630,"ind","latin","Krajan Lor Gumelar","-8.2546","113.5515"
"147742","US","12","PPL",NA,"en","english","Saint Marks","30.1610379","-84.2062825"
"189242","US","24","PPL",NA,"en","english","Glen Brook","39.2764948","-76.8485858"
"165730","US","17","PPL",NA,"en","english","Toluca","41.0022556","-89.133416"
"233810","US","40","PPL",NA,"en","english","Humphreys","34.5559074","-99.2373065"
"42383","ID","7","ADM4",6347523,"ind","latin","Twelagiri","-7.4225","109.685"
"136478","US","4","PPL",NA,"en","english","Leisure World","33.401159","-111.6898586"
"205597","US","28","PPL",NA,"en","english","Meadville","31.4723928","-90.8967682"
"260215","US","47","PPL",NA,"en","english","Mobra","35.881733","-85.2599676"
"228338","US","39","PPL",NA,"en","english","Bunker Hill","40.9592252","-80.9356437"
"210888","US","37","PPL",NA,"en","english","North Harlowe","34.8604386","-76.7718792"
"79405","LR","11","PPL",-2132354,"en","latin","Dababli","5.716667","-9.633333"
"42250","ID","7","ADM3",6355445,"ind","latin","Punggelan","-7.335556","109.601944"
"213090","US","37","PPL",NA,"en","english","Webb","36.0431677","-82.2812415"
"50708","ID","7","PPLA4",-2688343,"ind","latin","Mrayun","-6.8762","111.5877"
"36754","GT","17","ADM2",-1141661,"es","latin","San Miguel Ixtahuacán","15.25","-91.75"
"208523","US","37","PPL",NA,"en","english","Zephyr","36.3676332","-80.814237"
"111098","TH","60","ADM2",-3248680,"tha","latin","Kanchanadit","9.072562","99.543899"
"167091","US","17","PPL",NA,"en","english","French Village","38.6003279","-90.0501062"
"132182","US","5","PPL",NA,"en","english","Four Forks","35.062313","-91.2390147"
"10814","CA","10","PPL",-560993,"en","english","Payne Bay","60.016667","-70.033333"
"10513","CA","5","PPL",-572268,"en","english","Bigolet","54.166667","-58.433333"
"167446","US","17","PPL",NA,"en","english","Canal Trustees","41.9003106","-87.6250528"
"115660","TR","62","ADM2",11848438,"tur","latin","Ovacık","39.368334","39.214733"
"257782","US","47","PPL",NA,"en","english","Clarkrange","36.1834013","-85.0174564"
"69403","ID","7","ADM4",11046594,"ind","latin","Gintungreja","-7.5829","108.8554"
"244296","US","42","PPL",NA,"en","english","Hess Island","41.06564","-76.1868768"
"221725","US","36","PPL",NA,"en","english","Brighton","42.8678498","-75.0287683"
"168224","US","17","PPL",NA,"en","english","Woodleaf","41.7066667","-88.1166667"
"204559","US","28","PPL",NA,"en","english","Sherwood Forest","32.3579224","-90.1228641"
"205881","US","28","PPL",NA,"en","english","Mill Creek Corners","32.3626444","-90.0120278"
"197413","US","27","PPL",NA,"en","english","Wolford","46.5455182","-93.979149"
"221216","US","32","PPL",NA,"en","english","Holbrook Junction","38.7337959","-119.554891"
"237283","US","42","PPL",NA,"en","english","Caln","39.9909398","-75.7802235"
"246140","US","42","PPL",NA,"en","english","Hyndman","39.8231399","-78.718074"
"134497","US","5","PPL",NA,"en","english","Sugar Grove","35.0820372","-93.8013099"
"89264","NG","5","PPL",-2024083,"en","latin","Ajebandele","6.60758","3.873131"
"174330","US","21","PPL",NA,"en","english","Lovely","37.8259301","-82.4012574"
"243698","US","42","PPL",NA,"en","english","Burholme","40.0612223","-75.0832287"
"214081","US","38","PPL",NA,"en","english","Mapes","48.0311085","-98.2273245"
"200335","US","29","PPL",NA,"en","english","Excello","39.636145","-92.4754625"
"6734","KH","24","PPL",-1031148,"km","latin","Phumĭ Thmei","13.284964","104.096029"
"276549","US","51","PPL",NA,"en","english","Nuckols","37.5940361","-78.3213888"
"286302","US","55","PPL",NA,"en","english","Peebles","43.8163787","-88.3764942"
"218930","US","34","PPL",NA,"en","english","Sky View Manor","39.9778956","-74.1454173"
"120069","GB","Q9","PPLA",-2589101,"en","latin","Ballymena","54.866667","-6.266667"
"61009","ID","30","ADM4",11163566,"ind","latin","Caringin","-7.4612","107.5102"
"164435","US","17","PPL",NA,"en","english","Fayette","39.3200466","-90.1537229"
"12572","EC","10","PPL",-928461,"es","latin","Muñoz","-2.2","-80.183333"
"273006","US","49","PPL",NA,"en","english","Monarch Hills","40.8502232","-111.8935487"
"161102","US","19","PPL",NA,"en","english","Larrabee","42.8608139","-95.5452848"
"116536","TR","3","ADM2",11849469,"tur","latin","Sincanlı","38.753852","30.246621"
"262572","US","48","PPL",NA,"en","english","Axtell","31.6582205","-96.9713851"
"14725","ET","53","ADM1",9087455,"amh","latin","Tigray","14.166667","38.833333"
"258004","US","47","PPL",NA,"en","english","Bayview","35.8570299","-83.8123993"
"248880","US","72","PPL",NA,"es","latin","Sandy Hills","18.374673","-65.7132178"
"106152","SD","49","PPL",-3058,"en","latin","Aţ Ţābah","10.995382","24.277662"
"234871","US","40","PPL",NA,"en","english","Parkersburg","35.4925498","-99.023697"
"175881","US","21","PPL",NA,"en","english","Hallam","38.502568","-84.7896694"
"267583","US","48","PPL",NA,"en","english","West Odessa","31.8423472","-102.498757"
"23541","FR","A3","PPL",-1432373,"fr","latin","Huisseau","47.593347","1.453326"
"23894","FR","B5","PPL",-1454940,"fr","latin","Neuvy","48.080626","-.039011"
"231710","US","39","PPL",NA,"en","english","Mingo","40.2081127","-83.6382622"
"98728","PT","21","PPLA2",-2160125,"pt","latin","Boticas","41.689874","-7.665938"
"68124","ID","7","ADM4",10225105,"ind","latin","Pekiringanageng","-7.0626","109.5796"
"115786","TR","58","ADM2",11848548,"tur","latin","Kangal","39.243241","37.39731"
"80310","LR","13","PPL",-2135639,"en","latin","Watheke","4.478333","-7.691667"
